index,drama_title,drama_directors,drama_casts,drama_rate, drama_url,drama_country,drama_language_list,drama_time
149,我家那小子 第一季,陈歆宇,"陈学冬,钱枫,武艺,朱雨辰,徐海乔",6.7,https://movie.douban.com/subject/30259902/, 中国大陆, 汉语普通话,2018
150,拜托了冰箱 第四季,胡悦,"何炅,王嘉尔,黄磊,张杰,马天宇",6.9,https://movie.douban.com/subject/30204135/, 中国大陆, 汉语普通话,2018
151,花样青春：WINNER篇,罗英石,"姜昇润,宋旻浩,李昇勋,金秦禹,罗英石",9.1,https://movie.douban.com/subject/27168792/, 韩国, 韩语,2017
152,晓说2018,,"高晓松,徐克,吴宇森,冯小刚,樊建川",8.6,https://movie.douban.com/subject/30129066/, 中国大陆, 汉语普通话 / 英语 / 粤语,2018
153,歌手2018,"洪涛,洪啸","汪峰,张韶涵,洁茜J ,李圣杰,周延",6.6,https://movie.douban.com/subject/27180851/, 中国大陆, 汉语普通话,2018
154,街头美食斗士,朴熙妍,白钟元,9.3,https://movie.douban.com/subject/30207995/, 韩国, 韩语,2018
155,了不起的挑战,陈涤,"撒贝宁,华少,乐嘉,阮经天,沙溢",8.8,https://movie.douban.com/subject/26347994/, 中国大陆 / 韩国, 汉语普通话,2015
156,我们的师父,孔晓一,"于晓光,大张伟,刘宇宁,董思成,牛犇",6.5,https://movie.douban.com/subject/30464904/, 中国大陆, 汉语普通话,2019
157,PRODUCE 48,安俊英,"李昇基,李弘基,金恩英,姜智贤,姜丹尼尔",6.4,https://movie.douban.com/subject/27608490/, 韩国, 韩语,2018
158,中餐厅 第一季,王恬,"赵薇,黄晓明,周冬雨,张亮,靳梦佳",6.2,https://movie.douban.com/subject/27079327/, 中国大陆, 汉语普通话,2017
159,十三邀 第三季,,"许知远,张艺谋,李宇春",8.6,https://movie.douban.com/subject/30284874/, 中国大陆, 汉语普通话,2018
160,真正男子汉 第一季,"梁书源,罗煦明,刘庆荣","王宝强,郭晓东,张丰毅,袁弘,刘昊然",8.4,https://movie.douban.com/subject/26261192/, 中国大陆, 汉语普通话,2015
161,吐槽大会 第三季,孙忠怀,"张绍刚,李诞,池子,程璐,王建国",6.2,https://movie.douban.com/subject/30362309/, 中国大陆, 汉语普通话,2018
162,一本好书,关正文,"赵立新,黄维德,何雨桐,赵晏博,陈晓楠",9.2,https://movie.douban.com/subject/30337114/, 中国大陆, 汉语普通话,2018
163,这！就是灌篮,朱玲,"周杰伦,李易峰,林书豪,郭艾伦,易建联",8.0,https://movie.douban.com/subject/30201077/, 中国大陆, 汉语普通话,2018
164,花样青春：非洲篇,罗英石,"柳俊烈,安在洪,高庚杓,朴宝剑",9.4,https://movie.douban.com/subject/26715586/, 韩国, 韩语,2016
